date,T2M,PRECTOTCORR_SUM,QV2M
2009-08-01,28.48,67.66,18.18
2009-09-01,28.07,109.24,18.6
2009-10-01,28.21,47.44,18.16
2009-11-01,27.47,76.94,17.47
2009-12-01,26.74,31.37,16.55
2010-01-01,25.88,33.13,15.64
2010-02-01,26.44,24.27,15.58
2010-03-01,26.78,32.79,16.21
2010-04-01,26.68,74.06,16.29
2010-05-01,27.53,169.65,18.0
2010-06-01,27.74,164.7,19.17
2010-07-01,27.64,174.97,19.56
2010-08-01,28.3,139.02,19.4
2010-09-01,28.08,156.26,19.03
2010-10-01,27.61,141.26,18.58
2010-11-01,26.1,133.21,16.47
2010-12-01,24.81,93.82,14.97
2011-01-01,24.95,31.09,15.25
2011-02-01,24.97,25.3,14.44
2011-03-01,24.92,22.46,13.82
2011-04-01,25.91,46.28,14.99
2011-05-01,26.44,204.64,17.11
2011-06-01,27.27,176.55,19.03
2011-07-01,27.3,182.25,19.05
2011-08-01,27.68,208.59,19.36
2011-09-01,27.68,203.85,19.03
2011-10-01,27.53,61.51,18.17
2011-11-01,26.67,114.68,17.53
2011-12-01,25.54,34.96,15.49
2012-01-01,25.07,26.86,14.7
2012-02-01,25.12,29.49,14.58
2012-03-01,25.36,56.81,14.73
2012-04-01,26.22,75.34,15.59
2012-05-01,26.74,111.22,17.24
2012-06-01,28.18,62.03,17.65
2012-07-01,28.19,80.5,18.16
2012-08-01,28.03,168.18,18.45
2012-09-01,28.43,73.39,18.01
2012-10-01,28.0,163.09,18.51
2012-11-01,27.11,75.8,17.87
2012-12-01,25.82,39.39,15.6
2013-01-01,25.37,22.87,14.76
2013-02-01,25.45,15.18,14.09
2013-03-01,25.37,44.95,14.35
2013-04-01,26.48,28.68,15.35
2013-05-01,26.98,124.37,17.32
2013-06-01,26.81,129.22,18.34
2013-07-01,27.44,83.84,18.26
2013-08-01,28.05,88.5,18.58
2013-09-01,28.04,153.72,18.82
2013-10-01,27.76,157.78,18.37
2013-11-01,26.55,89.63,17.23
2013-12-01,25.85,59.65,16.45
2014-01-01,25.57,16.49,15.21
2014-02-01,25.76,22.77,14.91
2014-03-01,26.14,20.0,14.66
2014-04-01,26.94,16.42,15.37
2014-05-01,26.85,117.45,16.44
2014-06-01,27.68,57.11,17.57
2014-07-01,28.06,43.87,17.64
2014-08-01,28.04,122.81,18.61
2014-09-01,27.8,134.08,18.58
2014-10-01,28.08,58.56,18.08
2014-11-01,26.79,151.76,17.82
2014-12-01,25.75,33.78,15.71
2015-01-01,25.8,40.64,15.55
2015-02-01,25.86,65.37,15.49
2015-03-01,25.79,25.84,14.32
2015-04-01,26.83,28.03,15.31
2015-05-01,27.28,83.44,16.53
2015-06-01,27.85,55.06,17.63
2015-07-01,27.87,77.02,17.7
2015-08-01,28.42,95.27,18.18
2015-09-01,28.64,94.59,18.49
2015-10-01,28.28,136.81,18.69
2015-11-01,26.85,188.88,18.01
2015-12-01,26.09,63.05,17.07
2016-01-01,25.6,34.94,15.48
2016-02-01,25.82,43.44,15.36
2016-03-01,25.75,57.69,15.17
2016-04-01,26.52,148.05,16.48
2016-05-01,27.06,134.75,17.83
2016-06-01,27.58,83.0,18.35
2016-07-01,28.06,93.79,18.71
2016-08-01,28.2,144.44,18.84
2016-09-01,28.34,77.04,18.57
2016-10-01,27.84,220.53,18.83
2016-11-01,26.65,307.91,18.4
2016-12-01,25.98,50.47,17.04
2017-01-01,24.68,44.4,14.82
2017-02-01,25.28,48.7,15.01
2017-03-01,25.45,122.69,15.3
2017-04-01,25.88,127.6,15.92
2017-05-01,26.76,110.11,17.53
2017-06-01,27.73,76.23,17.91
2017-07-01,28.19,89.41,18.74
2017-08-01,28.35,154.49,19.13
2017-09-01,27.9,388.5,19.48
2017-10-01,27.15,229.21,18.78
2017-11-01,26.62,288.49,17.95
2017-12-01,25.7,48.33,16.46
2018-01-01,25.35,84.35,16.1
2018-02-01,24.7,45.78,14.36
2018-03-01,25.36,38.41,14.69
2018-04-01,26.45,42.88,15.67
2018-05-01,26.9,45.22,16.15
2018-06-01,27.82,73.34,17.29
2018-07-01,27.81,68.1,17.89
2018-08-01,28.2,95.93,17.83
2018-09-01,28.17,99.46,18.24
2018-10-01,26.99,247.36,17.81
2018-11-01,26.45,108.39,17.45
2018-12-01,25.89,28.82,15.67
2019-01-01,25.16,39.48,14.72
2019-02-01,25.41,24.43,14.78
2019-03-01,25.92,50.35,14.8
2019-04-01,26.56,23.5,15.03
2019-05-01,27.02,118.6,16.85
2019-06-01,27.93,45.5,17.83
2019-07-01,28.48,82.13,18.06
2019-08-01,28.61,82.63,18.72
2019-09-01,28.8,165.64,18.97
2019-10-01,28.27,83.11,18.03
2019-11-01,27.47,34.54,17.03
2019-12-01,26.9,61.73,17.0
2020-01-01,25.84,52.92,15.79
2020-02-01,25.93,38.44,15.38
2020-03-01,25.49,88.77,15.11
2020-04-01,27.27,34.04,16.11
2020-05-01,28.37,48.18,16.86
2020-06-01,28.66,36.36,17.78
2020-07-01,28.69,110.55,18.53
2020-08-01,28.65,127.9,18.87
2020-09-01,28.65,93.46,18.65
2020-10-01,27.87,142.17,18.44
2020-11-01,26.51,276.36,17.72
2020-12-01,25.6,70.47,16.16
2021-01-01,25.26,32.86,15.19
2021-02-01,25.62,28.56,14.85
2021-03-01,25.72,24.7,14.52
2021-04-01,26.1,120.93,15.22
2021-05-01,27.09,78.17,16.62
2021-06-01,27.33,124.44,17.79
2021-07-01,27.95,95.46,18.4
2021-08-01,28.27,107.14,18.63
2021-09-01,28.38,220.72,18.97
2021-10-01,28.02,125.22,18.38
2021-11-01,27.14,96.76,17.32
2021-12-01,26.44,36.82,16.22
2022-01-01,25.66,45.03,14.82
2022-02-01,25.19,99.53,15.17
2022-03-01,25.92,42.46,15.31
2022-04-01,26.07,73.27,15.13
2022-05-01,27.12,72.28,17.25
2022-06-01,28.17,58.02,17.62
2022-07-01,28.07,94.45,18.4
2022-08-01,28.52,89.32,18.76
2022-09-01,28.27,260.99,19.28
2022-10-01,27.6,202.15,18.73
2022-11-01,26.67,139.54,18.07
2022-12-01,25.5,19.78,15.42
2023-01-01,25.25,47.17,15.06
2023-02-01,25.33,16.72,14.36
2023-03-01,25.69,57.11,14.29
2023-04-01,26.37,74.94,16.04
2023-05-01,28.3,95.16,17.73
2023-06-01,29.23,52.94,19.07
2023-07-01,29.04,103.6,19.48
2023-08-01,29.28,204.84,20.17
2023-09-01,29.41,76.96,19.86
2023-10-01,29.0,188.96,19.87
2023-11-01,27.6,163.26,18.69
2023-12-01,25.96,79.9,16.67
2024-01-01,26.19,40.29,16.36
2024-02-01,25.76,62.48,15.67
2024-03-01,26.55,42.3,16.16
2024-04-01,27.12,137.08,17.15
2024-05-01,28.17,251.8,19.48
2024-06-01,28.59,152.51,20.18
2024-07-01,28.53,157.11,20.21
2024-08-01,28.78,147.89,20.09
2024-09-01,29.21,113.64,20.0
2024-10-01,29.22,261.2,19.17
2024-11-01,27.35,307.63,18.98
2024-12-01,26.45,130.45,17.44
2025-01-01,25.51,56.36,16.36
2025-02-01,25.96,37.93,15.92
2025-03-01,26.46,71.72,15.92
2025-04-01,26.63,177.19,16.4
2025-05-01,27.11,125.55,17.85
2025-06-01,27.86,72.34,17.96
2025-07-01,28.47,58.13,18.39
2025-08-01,28.95,96.76,19.11
2025-09-01,28.93,133.57,19.04
2025-10-01,28.37,275.08,19.15
2025-11-01,27.18,79.03,17.79
2025-12-01,26.17,76.57,16.31
