step,date,cases,pop,T2M,T2M_lag1,T2M_lag2,PRECTOTCORR_SUM,PRECTOTCORR_SUM_lag1,PRECTOTCORR_SUM_lag2,QV2M,QV2M_lag1,QV2M_lag2
27,2005-06-01,69.0,2271796.0,27.67,27.03,26.96,165.86,258.48,142.89,19.29,18.39,17.19
28,2005-07-01,227.0,2271796.0,27.82,27.67,27.03,158.66,165.86,258.48,19.53,19.29,18.39
29,2005-08-01,410.0,2271796.0,28.07,27.82,27.67,179.07,158.66,165.86,19.39,19.53,19.29
30,2005-09-01,462.0,2271796.0,28.32,28.07,27.82,163.48,179.07,158.66,19.35,19.39,19.53
31,2005-10-01,279.0,2271796.0,27.36,28.32,28.07,343.98,163.48,179.07,19.4,19.35,19.39
32,2005-11-01,140.0,2271796.0,26.51,27.36,28.32,113.36,343.98,163.48,17.52,19.4,19.35
33,2005-12-01,64.0,2271796.0,25.14,26.51,27.36,88.77,113.36,343.98,15.69,17.52,19.4
34,2006-01-01,68.0,2271796.0,24.66,25.14,26.51,101.21,88.77,113.36,15.05,15.69,17.52
35,2006-02-01,28.0,2271796.0,24.68,24.66,25.14,74.84,101.21,88.77,14.75,15.05,15.69
36,2006-03-01,12.0,2271796.0,25.18,24.68,24.66,100.07,74.84,101.21,14.85,14.75,15.05
37,2006-04-01,13.0,2271796.0,26.01,25.18,24.68,108.56,100.07,74.84,15.94,14.85,14.75
38,2006-05-01,26.0,2271796.0,27.0,26.01,25.18,110.04,108.56,100.07,17.06,15.94,14.85
39,2006-06-01,22.0,2271796.0,27.83,27.0,26.01,115.0,110.04,108.56,18.32,17.06,15.94
40,2006-07-01,42.0,2271796.0,27.51,27.83,27.0,185.95,115.0,110.04,18.51,18.32,17.06
41,2006-08-01,60.0,2271796.0,27.58,27.51,27.83,145.17,185.95,115.0,18.72,18.51,18.32
42,2006-09-01,88.0,2271796.0,28.16,27.58,27.51,128.59,145.17,185.95,18.68,18.72,18.51
43,2006-10-01,70.0,2271796.0,27.83,28.16,27.58,237.87,128.59,145.17,19.09,18.68,18.72
44,2006-11-01,72.0,2271796.0,26.94,27.83,28.16,88.59,237.87,128.59,17.45,19.09,18.68
45,2006-12-01,49.0,2271796.0,25.98,26.94,27.83,69.59,88.59,237.87,16.54,17.45,19.09
46,2007-01-01,59.0,2271796.0,25.28,25.98,26.94,18.21,69.59,88.59,14.91,16.54,17.45
47,2007-02-01,61.0,2271796.0,25.87,25.28,25.98,18.38,18.21,69.59,15.25,14.91,16.54
48,2007-03-01,56.0,2271796.0,26.11,25.87,25.28,80.23,18.38,18.21,15.32,15.25,14.91
49,2007-04-01,31.0,2271796.0,26.46,26.11,25.87,43.53,80.23,18.38,15.94,15.32,15.25
50,2007-05-01,52.0,2271796.0,27.85,26.46,26.11,143.22,43.53,80.23,17.43,15.94,15.32
51,2007-06-01,98.0,2271796.0,27.96,27.85,26.46,57.11,143.22,43.53,17.91,17.43,15.94
52,2007-07-01,185.0,2271796.0,28.29,27.96,27.85,65.58,57.11,143.22,17.9,17.91,17.43
53,2007-08-01,315.0,2271796.0,28.25,28.29,27.96,99.38,65.58,57.11,18.48,17.9,17.91
54,2007-09-01,390.0,2271796.0,28.19,28.25,28.29,75.63,99.38,65.58,18.23,18.48,17.9
55,2007-10-01,527.0,2271796.0,27.37,28.19,28.25,218.4,75.63,99.38,18.36,18.23,18.48
56,2007-11-01,136.0,2271796.0,26.53,27.37,28.19,44.67,218.4,75.63,16.88,18.36,18.23
57,2007-12-01,59.0,2271796.0,25.79,26.53,27.37,49.44,44.67,218.4,15.92,16.88,18.36
58,2008-01-01,63.0,2271796.0,24.94,25.79,26.53,25.12,49.44,44.67,14.43,15.92,16.88
59,2008-02-01,21.0,2271796.0,25.15,24.94,25.79,14.53,25.12,49.44,14.13,14.43,15.92
60,2008-03-01,10.0,2271796.0,25.18,25.15,24.94,19.53,14.53,25.12,13.74,14.13,14.43
61,2008-04-01,14.0,2271796.0,26.0,25.18,25.15,40.58,19.53,14.53,15.0,13.74,14.13
62,2008-05-01,10.0,2271796.0,27.29,26.0,25.18,48.46,40.58,19.53,16.03,15.0,13.74
63,2008-06-01,12.0,2271796.0,27.54,27.29,26.0,83.24,48.46,40.58,17.66,16.03,15.0
64,2008-07-01,25.0,2271796.0,27.95,27.54,27.29,35.61,83.24,48.46,17.62,17.66,16.03
65,2008-08-01,44.0,2271796.0,28.29,27.95,27.54,174.98,35.61,83.24,18.77,17.62,17.66
66,2008-09-01,71.0,2271796.0,27.43,28.29,27.95,344.11,174.98,35.61,19.21,18.77,17.62
67,2008-10-01,135.0,2271796.0,26.94,27.43,28.29,113.43,344.11,174.98,18.14,19.21,18.77
68,2008-11-01,163.0,2271796.0,26.14,26.94,27.43,47.18,113.43,344.11,16.84,18.14,19.21
69,2008-12-01,120.0,2271796.0,25.06,26.14,26.94,18.3,47.18,113.43,14.99,16.84,18.14
70,2009-01-01,150.0,2271796.0,25.27,25.06,26.14,27.7,18.3,47.18,15.35,14.99,16.84
71,2009-02-01,148.0,2271796.0,24.9,25.27,25.06,32.39,27.7,18.3,14.1,15.35,14.99
72,2009-03-01,100.0,2271796.0,24.36,24.9,25.27,46.81,32.39,27.7,13.48,14.1,15.35
73,2009-04-01,68.0,2271796.0,25.96,24.36,24.9,27.92,46.81,32.39,14.69,13.48,14.1
74,2009-05-01,38.0,2271796.0,25.95,25.96,24.36,147.54,27.92,46.81,16.98,14.69,13.48
75,2009-06-01,63.0,2271796.0,27.34,25.95,25.96,55.69,147.54,27.92,17.84,16.98,14.69
76,2009-07-01,92.0,2271796.0,28.21,27.34,25.95,54.6,55.69,147.54,18.34,17.84,16.98
77,2009-08-01,149.0,2271796.0,28.48,28.21,27.34,67.66,54.6,55.69,18.18,18.34,17.84
78,2009-09-01,159.0,2271796.0,28.07,28.48,28.21,109.24,67.66,54.6,18.6,18.18,18.34
79,2009-10-01,221.0,2271796.0,28.21,28.07,28.48,47.44,109.24,67.66,18.16,18.6,18.18
80,2009-11-01,232.0,2271796.0,27.47,28.21,28.07,76.94,47.44,109.24,17.47,18.16,18.6
81,2009-12-01,207.0,2271796.0,26.74,27.47,28.21,31.37,76.94,47.44,16.55,17.47,18.16
82,2010-01-01,288.0,2271796.0,25.88,26.74,27.47,33.13,31.37,76.94,15.64,16.55,17.47
83,2010-02-01,254.0,2271796.0,26.44,25.88,26.74,24.27,33.13,31.37,15.58,15.64,16.55
84,2010-03-01,217.0,2271796.0,26.78,26.44,25.88,32.79,24.27,33.13,16.21,15.58,15.64
85,2010-04-01,232.0,2271796.0,26.68,26.78,26.44,74.06,32.79,24.27,16.29,16.21,15.58
86,2010-05-01,271.0,2271796.0,27.53,26.68,26.78,169.65,74.06,32.79,18.0,16.29,16.21
87,2010-06-01,513.0,2271796.0,27.74,27.53,26.68,164.7,169.65,74.06,19.17,18.0,16.29
88,2010-07-01,1078.0,2271796.0,27.64,27.74,27.53,174.97,164.7,169.65,19.56,19.17,18.0
89,2010-08-01,973.0,2271796.0,28.3,27.64,27.74,139.02,174.97,164.7,19.4,19.56,19.17
90,2010-09-01,828.0,2271796.0,28.08,28.3,27.64,156.26,139.02,174.97,19.03,19.4,19.56
91,2010-10-01,537.0,2271796.0,27.61,28.08,28.3,141.26,156.26,139.02,18.58,19.03,19.4
92,2010-11-01,171.0,2271796.0,26.1,27.61,28.08,133.21,141.26,156.26,16.47,18.58,19.03
93,2010-12-01,119.0,2271796.0,24.81,26.1,27.61,93.82,133.21,141.26,14.97,16.47,18.58
94,2011-01-01,63.0,2271796.0,24.95,24.81,26.1,31.09,93.82,133.21,15.25,14.97,16.47
95,2011-02-01,49.0,2271796.0,24.97,24.95,24.81,25.3,31.09,93.82,14.44,15.25,14.97
96,2011-03-01,26.0,2271796.0,24.92,24.97,24.95,22.46,25.3,31.09,13.82,14.44,15.25
97,2011-04-01,24.0,2271796.0,25.91,24.92,24.97,46.28,22.46,25.3,14.99,13.82,14.44
98,2011-05-01,17.0,2271796.0,26.44,25.91,24.92,204.64,46.28,22.46,17.11,14.99,13.82
99,2011-06-01,43.0,2271796.0,27.27,26.44,25.91,176.55,204.64,46.28,19.03,17.11,14.99
100,2011-07-01,145.0,2271796.0,27.3,27.27,26.44,182.25,176.55,204.64,19.05,19.03,17.11
101,2011-08-01,194.0,2271796.0,27.68,27.3,27.27,208.59,182.25,176.55,19.36,19.05,19.03
102,2011-09-01,252.0,2271796.0,27.68,27.68,27.3,203.85,208.59,182.25,19.03,19.36,19.05
103,2011-10-01,250.0,2271796.0,27.53,27.68,27.68,61.51,203.85,208.59,18.17,19.03,19.36
104,2011-11-01,99.0,2271796.0,26.67,27.53,27.68,114.68,61.51,203.85,17.53,18.17,19.03
105,2011-12-01,83.0,2271796.0,25.54,26.67,27.53,34.96,114.68,61.51,15.49,17.53,18.17
106,2012-01-01,89.0,2271796.0,25.07,25.54,26.67,26.86,34.96,114.68,14.7,15.49,17.53
107,2012-02-01,46.0,2271796.0,25.12,25.07,25.54,29.49,26.86,34.96,14.58,14.7,15.49
108,2012-03-01,58.0,2271796.0,25.36,25.12,25.07,56.81,29.49,26.86,14.73,14.58,14.7
109,2012-04-01,58.0,2271796.0,26.22,25.36,25.12,75.34,56.81,29.49,15.59,14.73,14.58
110,2012-05-01,94.0,2271796.0,26.74,26.22,25.36,111.22,75.34,56.81,17.24,15.59,14.73
111,2012-06-01,149.0,2271796.0,28.18,26.74,26.22,62.03,111.22,75.34,17.65,17.24,15.59
112,2012-07-01,177.0,2271796.0,28.19,28.18,26.74,80.5,62.03,111.22,18.16,17.65,17.24
113,2012-08-01,289.0,2271796.0,28.03,28.19,28.18,168.18,80.5,62.03,18.45,18.16,17.65
114,2012-09-01,501.0,2271796.0,28.43,28.03,28.19,73.39,168.18,80.5,18.01,18.45,18.16
115,2012-10-01,595.0,2271796.0,28.0,28.43,28.03,163.09,73.39,168.18,18.51,18.01,18.45
116,2012-11-01,778.0,2271796.0,27.11,28.0,28.43,75.8,163.09,73.39,17.87,18.51,18.01
117,2012-12-01,814.0,2271796.0,25.82,27.11,28.0,39.39,75.8,163.09,15.6,17.87,18.51
118,2013-01-01,995.0,2271796.0,25.37,25.82,27.11,22.87,39.39,75.8,14.76,15.6,17.87
119,2013-02-01,448.0,2271796.0,25.45,25.37,25.82,15.18,22.87,39.39,14.09,14.76,15.6
120,2013-03-01,278.0,2271796.0,25.37,25.45,25.37,44.95,15.18,22.87,14.35,14.09,14.76
