date,T2M,PRECTOTCORR_SUM,QV2M
2006-09-01,24.17,272.43,17.82
2006-10-01,24.12,190.16,16.56
2006-11-01,23.06,37.29,15.33
2006-12-01,21.69,0.0,10.5
2007-01-01,23.47,0.0,8.75
2007-02-01,25.06,0.0,9.29
2007-03-01,28.13,0.38,11.54
2007-04-01,29.48,27.7,14.14
2007-05-01,28.26,84.97,16.16
2007-06-01,25.12,736.65,18.47
2007-07-01,24.18,530.1,18.46
2007-08-01,23.72,553.95,17.92
2007-09-01,23.98,404.31,17.96
2007-10-01,23.68,67.37,16.28
2007-11-01,21.17,49.64,13.01
2007-12-01,22.26,0.84,11.4
2008-01-01,22.54,0.0,8.53
2008-02-01,24.61,11.63,9.52
2008-03-01,26.71,95.8,11.88
2008-04-01,27.62,32.49,14.17
2008-05-01,27.71,47.56,15.38
2008-06-01,24.8,393.09,17.98
2008-07-01,24.27,311.63,17.85
2008-08-01,23.77,507.07,17.66
2008-09-01,23.7,284.4,17.23
2008-10-01,23.79,42.55,15.86
2008-11-01,23.4,24.37,12.72
2008-12-01,22.99,8.85,10.32
2009-01-01,24.34,0.0,8.31
2009-02-01,26.7,0.0,8.96
2009-03-01,28.69,9.02,11.09
2009-04-01,29.44,14.02,13.87
2009-05-01,28.34,51.39,15.64
2009-06-01,25.11,349.0,17.84
2009-07-01,23.92,773.87,18.14
2009-08-01,24.1,221.87,17.83
2009-09-01,24.45,314.59,18.08
2009-10-01,23.61,198.01,15.9
2009-11-01,22.95,111.1,15.5
2009-12-01,22.2,15.01,12.86
2010-01-01,23.24,9.61,11.6
2010-02-01,25.69,0.0,10.24
2010-03-01,28.95,0.02,10.97
2010-04-01,29.32,18.9,14.17
2010-05-01,29.2,49.85,16.65
2010-06-01,25.76,511.68,18.27
2010-07-01,23.93,720.65,18.18
2010-08-01,23.88,426.37,18.13
2010-09-01,24.07,333.21,17.84
2010-10-01,24.05,165.98,17.34
2010-11-01,23.37,128.7,16.57
2010-12-01,20.54,1.97,12.27
2011-01-01,21.68,0.0,9.44
2011-02-01,23.8,0.84,9.39
2011-03-01,28.14,0.0,10.29
2011-04-01,28.07,37.5,13.4
2011-05-01,28.26,43.31,15.39
2011-06-01,25.19,309.25,17.88
2011-07-01,23.97,567.18,17.87
2011-08-01,23.69,530.28,17.83
2011-09-01,23.69,242.93,17.44
2011-10-01,24.27,96.65,17.07
2011-11-01,23.16,12.28,13.23
2011-12-01,23.49,0.01,9.86
2012-01-01,23.46,0.0,8.73
2012-02-01,26.11,0.0,7.5
2012-03-01,27.58,0.0,9.71
2012-04-01,28.48,54.41,14.33
2012-05-01,28.66,14.86,14.85
2012-06-01,25.23,506.98,17.41
2012-07-01,23.98,362.4,17.95
2012-08-01,23.82,397.89,17.77
2012-09-01,23.76,161.4,17.4
2012-10-01,23.75,78.77,15.72
2012-11-01,23.26,35.23,13.7
2012-12-01,23.63,0.01,10.82
2013-01-01,24.68,0.03,8.57
2013-02-01,26.4,8.29,9.59
2013-03-01,28.47,1.56,10.43
2013-04-01,28.47,16.92,12.76
2013-05-01,28.12,85.12,16.21
2013-06-01,24.77,427.98,18.22
2013-07-01,23.58,708.62,17.9
2013-08-01,23.5,240.05,17.41
2013-09-01,23.67,276.02,17.46
2013-10-01,23.74,102.18,16.8
2013-11-01,22.6,2.28,13.5
2013-12-01,21.84,0.0,9.57
2014-01-01,24.08,0.0,9.76
2014-02-01,25.16,0.8,9.69
2014-03-01,27.81,8.35,10.18
2014-04-01,29.61,15.63,12.89
2014-05-01,28.3,128.13,15.89
2014-06-01,25.9,268.74,18.32
2014-07-01,24.31,653.71,18.17
2014-08-01,23.83,571.91,17.92
2014-09-01,24.07,139.6,17.69
2014-10-01,24.03,185.21,16.62
2014-11-01,22.13,27.88,13.32
2014-12-01,22.03,19.04,11.62
2015-01-01,22.25,0.44,9.21
2015-02-01,25.27,7.19,8.22
2015-03-01,26.99,25.97,12.03
2015-04-01,28.61,30.26,13.06
2015-05-01,28.35,92.67,16.6
2015-06-01,25.06,464.43,17.99
2015-07-01,24.38,324.17,18.06
2015-08-01,24.23,283.11,17.93
2015-09-01,24.13,166.38,17.41
2015-10-01,24.64,73.16,16.77
2015-11-01,24.64,17.57,14.51
2015-12-01,24.9,1.23,11.06
2016-01-01,24.4,0.07,8.37
2016-02-01,26.54,0.03,10.34
2016-03-01,28.73,7.35,11.34
2016-04-01,29.83,12.36,13.36
2016-05-01,29.25,34.33,15.87
2016-06-01,25.18,595.14,17.91
2016-07-01,23.84,685.58,18.16
2016-08-01,23.72,388.27,17.66
2016-09-01,23.39,161.62,17.0
2016-10-01,22.86,71.17,14.98
2016-11-01,22.3,13.91,10.77
2016-12-01,23.45,1.2,8.71
2017-01-01,24.35,0.0,7.73
2017-02-01,26.5,0.0,7.73
2017-03-01,27.45,0.73,10.5
2017-04-01,29.53,6.25,12.8
2017-05-01,28.88,67.93,15.98
2017-06-01,25.29,346.16,18.15
2017-07-01,24.3,401.34,18.1
2017-08-01,24.18,291.82,17.95
2017-09-01,24.49,299.8,18.04
2017-10-01,24.1,126.25,17.12
2017-11-01,22.09,2.42,13.18
2017-12-01,22.3,6.2,10.68
2018-01-01,23.66,0.61,8.22
2018-02-01,26.08,0.79,6.76
2018-03-01,28.13,11.64,10.36
2018-04-01,29.84,15.02,12.6
2018-05-01,28.05,122.03,16.44
2018-06-01,24.94,572.59,18.8
2018-07-01,23.88,454.48,18.02
2018-08-01,23.51,258.15,17.29
2018-09-01,23.7,118.69,16.66
2018-10-01,24.28,57.35,15.42
2018-11-01,24.54,9.89,11.97
2018-12-01,23.97,3.3,9.79
2019-01-01,23.66,0.0,6.68
2019-02-01,26.21,0.0,8.08
2019-03-01,27.63,12.67,10.07
2019-04-01,29.76,20.12,12.94
2019-05-01,29.51,7.11,14.36
2019-06-01,26.66,448.71,17.78
2019-07-01,24.38,726.48,18.75
2019-08-01,24.11,905.4,18.34
2019-09-01,23.95,376.26,17.91
2019-10-01,24.07,388.85,17.71
2019-11-01,23.04,17.98,15.64
2019-12-01,23.09,1.59,14.3
2020-01-01,23.04,0.36,11.74
2020-02-01,25.56,1.32,9.7
2020-03-01,27.58,12.39,11.55
2020-04-01,29.84,36.6,13.89
2020-05-01,29.93,47.48,16.26
2020-06-01,25.09,549.97,18.44
2020-07-01,24.15,709.9,18.32
2020-08-01,24.01,688.32,18.4
2020-09-01,24.0,459.31,17.94
2020-10-01,23.91,238.04,17.5
2020-11-01,23.04,0.46,15.42
2020-12-01,22.42,3.93,12.59
2021-01-01,24.36,11.81,12.68
2021-02-01,25.14,10.88,9.82
2021-03-01,28.76,4.2,10.65
2021-04-01,29.46,32.05,13.65
2021-05-01,27.14,316.24,17.95
2021-06-01,24.68,554.26,18.26
2021-07-01,24.0,728.92,18.37
2021-08-01,23.91,181.28,17.52
2021-09-01,24.02,288.4,17.86
2021-10-01,24.46,155.4,17.52
2021-11-01,23.64,127.73,16.67
2021-12-01,21.52,60.72,13.68
2022-01-01,21.29,0.15,11.22
2022-02-01,24.39,0.0,9.87
2022-03-01,28.52,9.97,11.81
2022-04-01,29.05,51.01,14.96
2022-05-01,27.77,84.12,16.8
2022-06-01,25.23,430.48,17.66
2022-07-01,24.03,608.38,18.16
2022-08-01,23.8,363.17,17.79
2022-09-01,23.82,272.99,17.54
2022-10-01,23.42,111.79,16.28
2022-11-01,22.58,3.58,14.17
2022-12-01,23.91,7.17,12.69
2023-01-01,23.69,0.02,8.99
2023-02-01,27.19,0.0,6.7
2023-03-01,27.6,0.01,8.79
2023-04-01,29.15,11.82,12.14
2023-05-01,29.29,39.68,14.9
2023-06-01,26.95,289.62,17.59
2023-07-01,24.24,886.22,18.44
2023-08-01,24.26,138.78,17.7
2023-09-01,24.29,326.02,18.03
2023-10-01,24.56,40.23,16.75
2023-11-01,24.32,42.01,15.86
2023-12-01,24.33,0.39,11.72
2024-01-01,24.45,9.23,10.43
2024-02-01,27.0,0.0,8.71
2024-03-01,28.79,0.34,10.69
2024-04-01,30.27,69.04,14.19
2024-05-01,29.06,82.06,17.0
2024-06-01,25.41,488.72,18.34
2024-07-01,24.5,1118.44,19.07
2024-08-01,24.75,456.56,18.98
2024-09-01,24.23,283.06,18.07
2024-10-01,24.77,382.02,18.12
2024-11-01,22.31,12.62,14.58
2024-12-01,23.25,14.73,14.53
2025-01-01,23.47,0.01,9.97
2025-02-01,27.2,0.09,8.28
2025-03-01,29.45,11.74,10.03
2025-04-01,30.04,31.97,13.79
2025-05-01,27.23,389.84,16.66
2025-06-01,24.94,497.06,18.84
2025-07-01,24.11,575.5,18.38
2025-08-01,23.6,499.41,17.74
2025-09-01,23.62,180.43,17.34
2025-10-01,23.88,261.97,17.18
2025-11-01,21.06,12.96,13.52
2025-12-01,20.28,0.01,10.62
