date,T2M,PRECTOTCORR_SUM,QV2M
2012-11-01,21.82,29.03,12.11
2012-12-01,21.61,17.62,11.46
2013-01-01,22.47,0.0,8.83
2013-02-01,23.82,13.36,9.28
2013-03-01,27.12,10.88,9.26
2013-04-01,29.37,22.65,11.92
2013-05-01,26.89,150.2,14.76
2013-06-01,23.04,75.13,14.9
2013-07-01,22.42,100.1,14.83
2013-08-01,22.95,109.37,15.2
2013-09-01,22.3,256.7,15.64
2013-10-01,22.24,89.66,15.75
2013-11-01,20.88,48.46,13.56
2013-12-01,19.79,2.06,10.34
2014-01-01,21.23,0.04,9.88
2014-02-01,23.92,0.28,9.04
2014-03-01,26.12,5.32,8.33
2014-04-01,29.56,6.28,9.59
2014-05-01,27.4,83.58,14.36
2014-06-01,25.5,90.67,15.23
2014-07-01,23.84,49.81,14.75
2014-08-01,23.33,65.13,14.92
2014-09-01,23.35,144.47,14.88
2014-10-01,22.39,138.57,14.61
2014-11-01,20.87,15.77,11.68
2014-12-01,21.25,5.98,11.34
2015-01-01,21.62,2.0,9.14
2015-02-01,23.02,1.4,7.35
2015-03-01,25.92,21.31,9.68
2015-04-01,26.96,86.71,12.92
2015-05-01,26.03,88.15,14.78
2015-06-01,24.28,75.69,15.1
2015-07-01,24.81,34.06,14.47
2015-08-01,24.52,81.0,14.73
2015-09-01,24.28,99.26,14.79
2015-10-01,23.1,97.98,13.68
2015-11-01,21.13,226.5,14.53
2015-12-01,20.71,10.37,12.54
2016-01-01,20.77,2.63,10.37
2016-02-01,24.45,0.0,9.66
2016-03-01,27.38,23.09,10.12
2016-04-01,30.95,3.83,10.81
2016-05-01,27.47,112.48,14.29
2016-06-01,23.76,138.68,15.02
2016-07-01,23.47,142.2,15.08
2016-08-01,23.74,41.83,14.99
2016-09-01,23.57,33.68,14.1
2016-10-01,23.9,25.68,11.87
2016-11-01,23.43,1.94,9.01
2016-12-01,21.07,60.78,9.36
2017-01-01,21.31,5.14,8.87
2017-02-01,23.14,0.0,6.77
2017-03-01,26.35,35.12,10.24
2017-04-01,29.78,21.65,10.67
2017-05-01,27.32,126.95,14.9
2017-06-01,24.3,67.41,14.71
2017-07-01,24.39,68.66,14.41
2017-08-01,23.58,198.42,15.42
2017-09-01,22.84,269.92,16.21
2017-10-01,21.95,250.76,15.67
2017-11-01,20.83,30.97,14.4
2017-12-01,19.09,13.08,11.98
2018-01-01,19.8,0.0,10.05
2018-02-01,21.77,5.57,8.62
2018-03-01,25.98,22.11,9.18
2018-04-01,28.81,29.88,12.0
2018-05-01,26.44,154.88,15.39
2018-06-01,23.93,56.64,14.85
2018-07-01,23.86,59.03,14.77
2018-08-01,23.72,54.43,14.39
2018-09-01,24.33,113.19,14.45
2018-10-01,23.41,62.36,12.93
2018-11-01,22.88,23.46,11.9
2018-12-01,22.68,4.78,10.64
2019-01-01,21.4,10.53,7.68
2019-02-01,24.7,17.44,9.55
2019-03-01,28.55,0.1,8.71
2019-04-01,29.33,38.62,10.43
2019-05-01,28.07,104.04,14.82
2019-06-01,25.91,55.09,15.07
2019-07-01,24.41,56.37,14.58
2019-08-01,23.43,133.53,14.88
2019-09-01,23.1,161.31,15.58
2019-10-01,22.55,187.52,16.04
2019-11-01,21.88,40.29,14.87
2019-12-01,21.57,13.23,13.11
2020-01-01,22.6,0.32,11.15
2020-02-01,24.5,0.0,9.38
2020-03-01,27.46,8.31,9.9
2020-04-01,27.95,61.5,11.78
2020-05-01,28.43,56.6,13.99
2020-06-01,24.56,173.11,15.12
2020-07-01,22.97,175.39,15.93
2020-08-01,23.14,107.88,16.02
2020-09-01,22.29,196.54,15.8
2020-10-01,22.06,157.27,15.53
2020-11-01,21.08,99.25,14.55
2020-12-01,19.75,28.69,12.87
2021-01-01,20.9,19.36,12.22
2021-02-01,21.63,17.5,9.28
2021-03-01,25.94,0.09,8.55
2021-04-01,27.68,63.93,12.09
2021-05-01,26.07,161.4,15.36
2021-06-01,23.87,74.46,15.06
2021-07-01,23.08,203.74,15.83
2021-08-01,23.14,107.12,15.41
2021-09-01,22.95,130.32,15.61
2021-10-01,22.82,181.44,16.27
2021-11-01,21.33,200.97,15.4
2021-12-01,19.81,13.54,12.87
2022-01-01,20.86,2.2,12.24
2022-02-01,22.57,0.0,10.38
2022-03-01,26.38,11.94,9.41
2022-04-01,27.99,50.46,12.13
2022-05-01,25.69,189.97,15.62
2022-06-01,23.72,152.78,15.42
2022-07-01,23.01,123.13,15.57
2022-08-01,22.84,497.71,15.92
2022-09-01,22.47,158.19,15.99
2022-10-01,21.88,180.64,15.36
2022-11-01,20.31,67.01,13.83
2022-12-01,20.02,96.67,13.34
2023-01-01,18.82,0.23,10.37
2023-02-01,21.88,0.27,8.88
2023-03-01,24.86,39.91,10.19
2023-04-01,28.0,29.83,10.76
2023-05-01,26.85,135.36,15.5
2023-06-01,25.59,100.2,15.28
2023-07-01,23.94,70.74,14.97
2023-08-01,25.39,65.93,14.87
2023-09-01,23.4,169.39,15.61
2023-10-01,23.49,57.45,14.58
2023-11-01,23.15,68.07,14.4
2023-12-01,22.3,16.92,12.59
2024-01-01,23.0,3.36,10.89
2024-02-01,25.38,0.0,9.29
2024-03-01,27.99,0.0,8.58
2024-04-01,30.31,0.1,9.85
2024-05-01,27.71,116.14,15.52
2024-06-01,24.09,148.02,15.18
2024-07-01,23.7,61.55,15.22
2024-08-01,23.9,189.82,16.32
2024-09-01,23.92,49.52,15.41
2024-10-01,23.2,227.41,16.28
2024-11-01,21.88,41.53,14.61
2024-12-01,21.58,101.31,14.41
2025-01-01,20.73,6.66,10.73
2025-02-01,23.38,0.0,8.52
2025-03-01,27.19,5.74,9.27
2025-04-01,28.3,37.08,11.93
2025-05-01,25.9,198.49,15.3
2025-06-01,24.3,43.88,15.19
2025-07-01,24.02,60.5,14.88
2025-08-01,23.28,148.68,15.47
2025-09-01,23.14,151.55,15.81
2025-10-01,22.88,143.96,15.87
2025-11-01,21.17,24.55,13.52
2025-12-01,20.42,3.61,10.85
